,Drug,#,%,(,),+,-,.,/,0,1,2,3,4,5,6,7,8,9,=,@,A,B,C,F,H,I,K,L,M,N,O,P,S,W,Z,[,\,],a,b,c,e,g,i,l,n,o,r,s,t,u,target
10,CCc1c(C)nc2ncnn2c1NCCc1ccc(OC)cc1,0,0,2,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,1
11,Cc1ccc2cc(C)c3nnc(SCC(=O)NCc4ccco4)n3c2c1,0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,14,0,0,0,0,3,1,0,0,0,0,1
12,O=C(c1ccc2c(c1)OCCO2)C1CCN(S(=O)(=O)c2ccccc2F)CC1,0,0,5,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,8,1,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
13,CCOC(=O)N1CCN(S(=O)(=O)Cc2ccccc2)CC1,0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
14,CCSC1=C(C#N)C2(CCCCC2)C(C#N)=C(N)N1,2,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,FC(F)(F)c1ccc(N2CCN(c3cc(-c4ccccc4)nc4ncnn34)CC2)nc1,0,0,5,5,0,1,0,0,0,2,2,2,4,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,1
16,CCOC(=O)C(NC(C)=O)C(OC(C)=O)c1cccc(N(CCO)CCO)c1,0,0,7,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
17,CN(C)CCNC(=O)C(C(=O)c1ccc(F)cc1)n1ccccc1=O.Cl,0,0,5,5,0,0,1,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,8,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0,0
18,CN(C)C=C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,0,0,5,5,0,0,0,0,0,2,4,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,CCOc1ccc(-c2nnc(-c3ccncc3)o2)cc1,0,0,2,2,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,1,0,0,0,0,1
20,CC(C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccc2c(c1)OCCO2,0,0,7,7,0,0,0,0,0,6,2,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,1
21,Cc1ccc(-c2cnc(NC(=O)CCC(=O)N3CCCCC3)n2C)cc1,0,0,4,4,0,1,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0
22,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2C(C)C)n1,0,0,6,6,0,1,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,8,0,0,0,0,6,0,0,0,0,0,0
23,CC1(CCC#N)N=C(SCCC#N)N(c2ccccc2)C1=O,2,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
24,Cc1ccccc1OCC(=O)Nc1ccc(N2CCN(C(=O)C(C)C)CC2)c(Cl)c1,0,0,6,6,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1
25,Cl.O=C(CN1CCN(c2ncccn2)CC1)NCCC1=CCCCC1,0,0,2,2,0,0,1,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,1
26,O=C(Nc1cccc(NC(=O)N2CCN(c3ccccc3)CC2)c1)N1CCN(c2ccccc2)CC1,0,0,5,5,0,0,0,0,0,4,4,2,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1
27,CC(=O)NC1(c2cccc(F)c2)CCN(CC(=O)NC2CCCCC2)CC1,0,0,5,5,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,15,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
28,Cc1ccc(Cl)cc1N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,0,0,5,5,0,0,0,0,0,4,2,2,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1
29,CCOC(=O)c1c(NC(=O)CSc2nnnn2C)sc(C)c1C,0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,0,0,1
30,CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2Cc2ccncc2)c1,0,0,6,6,0,0,0,0,0,2,4,2,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,0,0,0,0,1
31,CCC(C)(C)n1nnnc1C(C(C)C)N(CCCO)Cc1cc2cc(C)ccc2[nH]c1=O,0,0,6,6,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,14,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,10,0,0,0,0,5,0,0,0,0,0,1
32,COc1cc2cc(CN(CCCO)S(=O)(=O)c3ccccc3Cl)c(=O)[nH]c2cc1OC,0,0,5,5,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,0,0,0,7,0,1,0,0,0,0,1,6,0,1,0,0,1,0,1,0,0,15,0,0,0,1,1,0,0,0,0,0,1
33,CCc1nnc(NC(=O)CSc2nnc(COc3ccccc3)n2Cc2ccccc2)s1,0,0,3,3,0,0,0,0,0,2,4,2,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,1,0,0,0
34,CC(C)Cn1c(-c2ccc(Cl)cc2)cnc1SCC(=O)N1CCOCC1,0,0,4,4,0,1,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,9,0,0,0,1,2,0,0,0,0,0,1
35,CCc1cc2c(NCc3ccco3)ncnc2s1.Cl,0,0,1,1,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,2,1,0,1,0,0,1
36,CCc1cc2c(NCCO)ncnc2s1,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,1,0,0,1
37,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2CC(C)C)n1,0,0,6,6,0,1,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,8,0,0,0,0,6,0,0,0,0,0,0
38,Nc1n[nH]c(-c2ccc(Br)cc2)c1Cl,0,0,2,2,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,9,0,0,0,1,2,0,1,0,0,0,1
39,CN(CCC#N)CC(=O)Nc1ccc(NC(=O)CN(C)CCC#N)cc1,2,0,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
40,CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,1,1,0,0,0,1
41,COc1ccc(OC)c(NC(=O)C(CC(=O)O)NCc2ccco2)c1,0,0,5,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
42,O=C1CC(c2cccs2)c2cc3c(cc2N1)OCO3,0,0,2,2,0,0,0,0,0,2,4,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,1
43,COCCNC(=O)C(c1ccc(C)o1)N(CC1CCCO1)C(=O)Cn1nnc2ccccc21,0,0,5,5,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,1,0,0,0,0,0
44,Br.COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21,0,0,3,3,0,0,1,0,0,2,4,0,0,0,0,0,0,0,2,0,0,1,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,1,0,0,0,0
45,COc1ccc(-c2noc(C3CCCN(C(=O)c4ccccc4OC)C3)n2)cc1OC,0,0,4,4,0,1,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,1,0,0,0,0,1
46,COCc1nnc(NC(=O)CSc2ccc(C)cc2)s1,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,1,0,0,1
47,CCCCn1c(SCC(=O)N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,0,0,5,5,0,0,0,0,0,2,4,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0
48,O=C(O)CCn1nnc(-c2cccs2)n1,0,0,2,2,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,0,0,0
49,O=C(CSc1nc2ccccc2o1)Nc1ccccc1N1CCCCCC1,0,0,1,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,13,0,0,0,0,1,1,0,0,0,0,1
50,CCOC(=O)CC(=O)CSc1nnc2c(n1)[nH]c1ccccc12,0,0,3,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,9,0,0,0,0,4,0,0,0,0,0,1
51,O=C(Cc1cccs1)N1CCC(c2nc3c(nnn3Cc3ccccc3Cl)c(=O)[nH]2)CC1,0,0,4,4,0,0,0,0,0,4,2,4,0,0,0,0,0,0,2,0,0,0,9,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,14,0,0,0,1,5,0,0,1,0,0,1
52,COc1ccccc1OCCn1cc(C(=O)c2ccco2)c2ccccc21,0,0,2,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,1,0,0,0,0,1
53,COc1cccc(C(=O)NC2CC3CCCC(C2)N3CC(=O)Nc2ccccc2)c1.Cl,0,0,4,4,0,0,1,0,0,2,4,2,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1
54,Cc1ccc(-c2csc(N3CCC(NS(=O)(=O)c4ccc5c(c4)OCCO5)CC3)n2)cc1,0,0,6,6,0,1,0,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,1,0,0,1
55,COc1ccc(S(=O)(=O)N2CCC(NC(=O)Nc3ccc(C)cc3)CC2)cc1,0,0,6,6,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
56,Cn1c(CNC(=O)Nc2ccccc2)nnc1SCc1ccccc1,0,0,2,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,1
57,CCCCNC(=O)NS(=O)(=O)c1ccc(C(=O)OC(C)C)o1,0,0,6,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1
58,Cc1ccc(C(=O)C2CCNCC2)cc1.Cl,0,0,2,2,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0
59,CCOc1ccc(C(=O)N2CCCC2C(=O)O)cc1,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
60,COc1ccc(CCNc2c(C)c(C)nc3ncnn23)cc1,0,0,3,3,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,1
61,COCCN1C(=O)C(=O)/C(=C(/O)c2cccc(OC)c2)C1c1ccco1,0,0,5,5,0,0,0,2,0,4,2,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
62,COc1ccc(-c2cc(C(F)F)nc(-n3nc(C)cc3C)n2)cc1,0,0,5,5,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,1
63,CCc1c(C)nc2c(C#N)c(C)[nH]n2c1=O,1,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,3,0,0,0,0,0,0
64,CCOC(=O)N1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)N3CCOCC3)c2)CC1,0,0,7,7,0,0,0,0,0,2,2,2,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0
65,Cc1ccc(Cn2nnc3c(=O)[nH]c(C4CCN(C(=O)Cc5cccs5)CC4)nc32)cc1,0,0,5,5,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,9,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,14,0,0,0,0,5,0,0,1,0,0,1
66,CCC(=O)N(Cc1ccco1)c1nc(-c2ccccc2)cs1,0,0,3,3,0,1,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,1,0,1,0,0,1
67,Cc1cc(NC(=O)CCC(=O)N2CCC3(CC2)OCCO3)no1,0,0,4,4,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0
68,O=C(Nc1cnc2ccccc2c1)c1cccc(-n2cnnn2)c1,0,0,2,2,0,1,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0
69,O=C(CNC(=O)c1ccco1)OCc1c(F)cccc1Cl,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0
70,Clc1ccc(C(c2nnnn2C2CCCC2)N2CCN(Cc3ccncc3)CC2)cc1,0,0,3,3,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,5,0,0,0,0,0,1
71,O=C(CSc1nnc(-c2cccnc2)o1)Oc1ccccc1,0,0,2,2,0,1,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,13,0,0,0,0,3,1,0,0,0,0,0
72,CCOC(=O)CSc1n[nH]c(-c2cccnc2)n1,0,0,2,2,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,7,0,0,0,0,4,0,0,0,0,0,0
73,CCCCn1c(Cl)nc2c1c(=O)n(C)c(=O)n2C,0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,0,0,0,0,0,0
74,CC(=O)Nc1ccc(-c2ccccc2)s1,0,0,2,2,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
75,COCCNC(=O)COC(=O)c1nsc(Cl)c1Cl,0,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,1,0,0,0
76,CCOc1ccc(-c2nnn(CC(=O)Nc3cc(OC)ccc3OC)n2)cc1OCC,0,0,4,4,0,1,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0
77,N#CC1=C(N)OC2=C(C(=O)CCC2)C12CCC1(CC2)OCCO1,1,0,4,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Cl.O=C(CN1CCN(C2CCCCC2)CC1)NCCC1=CCCCC1,0,0,2,2,0,0,1,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,COc1cc(C(=O)Nc2ccc3c(c2)OCCO3)c(-n2cnnn2)cc1OC,0,0,4,4,0,1,0,0,0,2,4,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0
80,O=C(O)c1cc(S(=O)(=O)NCC2CCCO2)ccc1Cl,0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0
81,O=C(O)C1C2C=CC3(CN(Cc4ccccn4)C(=O)C13)O2,0,0,4,4,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0
82,Cn1c(SCC(=O)NCc2ccc3c(c2)OCO3)nnc1-c1cc2ccccc2cc1O,0,0,3,3,0,1,0,0,0,4,4,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,1
83,Cc1cccc(NC(=O)N(Cc2nc3ccccc3c(=O)[nH]2)C2CCCC2)c1,0,0,4,4,0,0,0,0,0,2,4,2,0,0,0,0,0,0,2,0,0,0,8,0,1,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,14,0,0,0,0,2,0,0,0,0,0,1
84,CCC(c1nnnn1CCOC)N1CCN(C(=O)c2ccco2)CC1.Cl,0,0,3,3,0,0,1,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,1,0,0,0,0,0
85,CC(C)(C)c1cc(C(=O)O)c(CN2CCCCC2)o1.Cl,0,0,5,5,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0
86,O=S(=O)(c1ccccc1)N1CCN(c2cc(-c3ccccc3)nc3ncnn23)CC1,0,0,4,4,0,1,0,0,0,4,2,4,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,17,0,0,0,0,4,0,0,0,0,0,1
87,O=C(CSc1n[nH]c(-c2ccccc2O)n1)N1CCCc2ccccc21,0,0,2,2,0,1,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,14,0,0,0,0,3,0,0,0,0,0,1
88,CCc1nnc2sc(-c3ccc(NC(=O)c4ccco4)cc3)nn12,0,0,3,3,0,1,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,1,0,1,0,0,0
89,CN(C)c1ccc(N=Cc2nc(-c3ccccc3)oc2O)cc1,0,0,3,3,0,1,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,0,0,0,0,1
90,Cc1n[nH]c(=O)nc1NCc1ccccc1Cl,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,9,0,0,0,1,3,0,0,0,0,0,0
91,COc1ccc(N2CC(C(=O)OCC(=O)c3cccc(OC)c3)CC2=O)cc1,0,0,5,5,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1
